text,wordcount
i feel bad  all the daddys in iran fighting  that cant have their kids come up to them with a card and say quothappy fathers day daddyquot,27
and he just literally started a fire by trying to cook while drunk is it bed time yet if only i had somewhere to escape to,26
howd u get that nick i got it from my cousins in mexico there was a song they would sing to me when we were kids amp it stuck,29
i dont know him but he was in my pop discussion and he sat in front of me dur exams  sigh best wishes that he gets better soon,28
am in dire need of some wingshave had plenty of red bull but still no lift off it has opposite affect on me keeps me grouned,26
my mom just had her yo dog brandy put to sleep  sad day kinda choked up but it was time she lived a good life love ya brandy,28
cept its kinda bitr sweettheres alot of ppl ill mis a whole lot like linz or jordan  my mane man and k i prob nevr see her again,28
we were invited late literally like an hour ago  so we r guilty for not bringin a gift  lol soweee they could take a rain check,26
yeaah i know wat u mean  i loved addie on greys now on pp i still love her but like not as much if u get me lol,28
ouch my shoulders r relli relli sore  they are relli red oh dear there gettin covered up now so i cant get them burnt any worse,26
y didnt u invite me to the launch  rejected n poor u wit a cold i felt like that for a few days little bit better now,27
daughter back from a week at camp shes back in time to start packing for the  week trek  much work to do before we head out,26
night out had  b put on hold   weeks coz i was so ill last nite gutted still had a nice nite tho  but whers the sun gone,27
oh yes i lt kathy griffin shes in town in a few but its  amp ive seen her shows so not willing to spend money on used material,28
nope not yet i got an import though the other day  and nah loads of people actually do its jsut they like never promo over here,26
excellent coffee cool dvd im about to watch its lovely to be home my how i love the simple things in lifex  see you later have fun,27
had a long and tiring day its going to be more hectic tomorrow i really need to learn how to drive it will make thing so much quicker,28
burnt bodies here at stuff hq  also gave away the winner of a bike race to the md by accident  had to make tea to make up for it,29
who else has to get up at the crack of dawn to sit in a hospital while their favourite uncle has a heart bypass just me then,27
does not know what to do tbh shes offfline  i dnt wanna fight  i dont wnat joel  or adi i want her to accept my apology  love u,28
i want to let u kno that u are my fav artist of all time i truly admire u and wish u the besthope to hear from u,28
oh not feeling well now i wonder if people in other countries go to cram school as much as we do in taiwan i really dislike chemistry,27
i know i know it was a very last minute thing and i didnt want to let  people know and not see half of them i sorry,27
i got good pics of everyone but  my favorite   looks like i am going to have to figure out a way to go to another show,26
when you going to let me work for you fam i been too close to you to not work with you  bless me on this sunday,26
wow where the hell have i been i jst heard david carradine died   guys try not to suffocate urself and ur penis to get off kthnx lol dam,28
so its just taken me just over an hour to get up my stairs wash myself and come back down this is gonna be a long  weeks,27
i wish that the april fools prank we pulled on my friend was real there would be an ax concert on friday during finals of course,26
wife just told the cat that while he originally cost about the same as a bottle of grange he was sitting on one day hed be worth less,28
so upset with the weather at am it was supposed to be partly sunny all day but now its saying cloudy all day  pool day ruined,26
i had a dream that all of the haters in the world died  it was sad bc there was nobody  us  stunt on thx god for haters  we need u,30
is going hiking  rails  trails then headin to the drivein if it does not rain to see up and star trek i think enjoying the day,26
back to work after hol  slept in spare room so id be fresh this morn was in bed by  too got up early and even did mins of wii fit,30
i dont want to go to bed yet but i dont want to hang around up here and im hungry i wish there was food up here,27
sleeping in the living room on the couch there is a spider or something in my room that bit me and now i have huge marks on my chest,29
just found out that i may not be leavin  atl this thursday i may have to work  the mall so i cant leave till friday night,26
ahhhhhhhh  its a fukin monkey  ha my ma is going to london for work nd she only told me today and shes going moro morning  ha ha,27
what a fantastic day shame i have to be in work  couldnt think of a good excuse to head for the beach instead of the office,26
do ya do ya do ya love meeee mcfly  i love them haha jesus i feel drunk but i have not had any alcohol just really really happy  x,29
wow i think i want a concierge everywhere i go having them hail a cab for me at any specific time i ask for is nice,26
as you can tell from the amount of tweets i have put out in the last ten minutes i am bored and having a very unproductive morning,27
if you guys have the cruise around the same time next yr which is also my bday then im going btw bring back dj echo too,26
i hope he is ok too that sudden deceleration must have been pretty hard on you hope you ok too  guns  at start line for us,26
hi babe how are u why didnt u come online since ages  u just tweet once in a whole day u used to be more on a month ago,29
i guess im going to sleep i dont want to but ipod is dying on me  night darn i wanted to stay on the forum oh well off to dream land,31
i have bought it as a one off at the moment to see what it is like  wouldnt kick the gift subscription out of the mag rack,27
cant wait for tonight amp i am also excited for the true blood new season premiere its on june  i am so sad i dont want layfyette to die,29
i just need to get to the post office  should be mailed by monday but ill let you know when i send it   sorry its been long,27
well that was an exciting morning at the hospital shame i cant remember it after passing out  i am also now a fetching shade of yellow,26
i do too not all of us got to go  still be sure to get down to your lcs for the fcbd edition of tmnt vol,26
charter is pissing me off the rest of the internet can access my blog except me   should have it fixed soon they say we will see,26
talked to two great old friends today  well i still see them of course but we arent as close as we used to be i love em both,28
i have the coupons but they expired   i think ill purchase it anyway we dont watch tv in our house but if its free y not,26
in a limo and heading to the clubs thanx for the well wishes i hope to be face deep in her pussy in a few hours,26
u shouldn let haters effect u since u cant get rid if them but if deletin it is the best then  sorry to see u go,26
ps the whole word limit thing sucks   i have to write it in parts  boo hoo im sad no im not im in thailand oh yes i am xxx nea,30
the day i leave my car across the street all day for an oil change turns out to be the day i really want to leave the office over lunch,30
happy star wars day  im going to make some pasta get showered and dressed and then watch some films i like days off i have  days off,27
surphs up is yummyyy anychance i can get the hq mp mailed to me hit me back not heard from you in like a month sucks,26
there is this letter infront of me and i know wats in it stuff  do wid trey songz and i really wnt  open it bt i cant its not mine,30
ive got one day left to get hot my date is now tomorrow his plane gets in tomorrow  i need to do squats my legs arent good enough,28
misses talking on the radio i was listening to my old radio shows today and almost shedded a tear  i need to get back on the airwaves,27
just got through from working out my knee still hurts im out of commision for a while   i guess i just have to get on my mixtape game,28
omg i dont want to go to class in the morning amp i need shoes for tomorrow who wants to go shopping for me while im in school,28
there is a tame pigeon sleeping on my bbq outside near the doorway of my house that keeps returning everyday i dont want it here ever,26
so its am i cut my bangs bleached my hair that resulted in me fucking my hair up what to do now lets dye it red i hate my life,30
a lovely day in reading or so i am told i have no windows in my office  i hate my job a lovely day in read,26
mama mia here i go again my my how can i resist you mama mia does it show again my my just how much ive missed you,27
where when we packed like sardines any way yea day  was fucking banging and i love them all but brian aint come to my side too much,27
couldnt really tell you cos we just got in the car n drove til we found a pub we liked the look of  somewhere  past skipton,26
i havent  got any food in and have a new credit card being sent to me so i cant take any money out for a take away  i might die,30
oh gosh im so unprepared for the upcoming tests hope my schedule goes well no more us i dont wanna end up in the vps office again,27
very tired had the greatest idea to go to malibu today i guess i wasnt the only one it took me about hs to get back,26
going to bed kinda sad cuz i didnt get to talk to sam before i went to bed but oh well he said his battery was dying,27
see i knew you would love it isnt it beautiful and perfect it took us all night to get it done but yay you love it,26
surprisingly to those who know me at least i wasnt there at the game and i didnt even really watch it i was with gab in the chapel,28
back to my morning walks this morning it has been over a week i missed seeing all my little birdies and rabbits i am such a nut,27
yeah nga eh plus  i kinda feel bad kasi i just saw ur post re worst bday year  thing i had to remind you pa sorry,26
cavs went home  lakers are going to own magics for the playoffs one of my only days off and im going to go see up with some monkeys,28
its my goal in life to meet her again and not be rushed by her people i was so starstruck that my mind drew a blank,26
quick bcuz char was all emotional talkin bout we need to get back how we use to be b we let all these people in our circle,27
good afternoon guys headed out to my textiles exam in  mins  then will revise for science till late tonight lol it comes to an end mo,26
cant wait for the new jonas brothers cd too ba it doesnt come out today  i am sick too so i need something to do while i am sick,29
omg yo wtf lmao why the fuck does she keep appearing on my page i even blocked the roach but it keeps getting it ok we,26
when i was eight years old i had really long hair and my gramma cut it so short that i couldnt even feel it in my neck,27
it just rained in my aptie the tub in the apt above flooded wheres a man when you need one oh right in barcelona milwaukee ampor astoria,27
i am done with geo it was easy  i mean ive got maybe  wrong but oh wellllll hahaha but im sure not all exams are gonna be this easy,29
thank goodness i realized i needed to wake up and have to get quotreadyquot for work this morning thanks for a good time and sry i leftwork,27
ahhh its kim kardashian  i absolutelyy lovee her if anyone can help me get in touch with her then youu r an angel sent from above,26
good morning sunshines so much to do today  but if i hurry through the cleaning parti get more of the fun so let the chore list begin,27
so angry  sat down to watch my dvr recording of kendra just to find out for some reason it didnt record or i forgot to set itugh,27
corrections need to be made dre said he was poppin up like pop tarts not poppin off like pop tarts  just thought id let everyone know lol,27
hey hunni  i replyed on bebo instead of here coz i needed way more than c its more like a lifestory  lol iloveyou x x x,26
so i havnt been getting any mobile updates for about  hours now and i missed out on all my raa kids tweets i feel so out of the loop,29
got to get twitter in the cell oh dad just came in with snacks hah thanks dad   oh where were i i need twitter in cell,26
i hear all the speed boats and a jet ski or two on the lake already another party weekend im still bruised from the last one,26
my wife and i need  get to bed earlier in the eve so shell be more open to that kind of thing we need our hrs of sleep,28
to all new followers offering to sell sex or drugs im married amp i get my kicks from tea so i blocked you shame  so nearly at,27
u know it  i hate pain  an tooth pain is the worst  i also had prob shots to make sure i felt nothing i kept sayn more,27
crying like a baby i just sent my boys off for  days without me and ive never been away from them overnight except in the hospital,26
wishes that i was on my way to tamp  see the no doubtparamore concert but i hope everyone enjoys it ill be in gville taking a test,27
really excited for tomorrow to come  my twin sister is having her nd baby tomorrow  cant wait to know if i have a niece or nephew,26
if youre new to twitter be sure to change your pic oo just looks like spam to me and im not a fan of the spamburger w cheese,28
such a nice day would love to be heading to brecon on the bike instead im stuck in work all day then going to college all evening,27
wish i could go but i have an exam the day after the only one i could to go to so im not allowed  are you touring next year,29
have u ever had a point in ur life where u felt helpless and knew u cant change anything because of some idiotic reasons lt u,26
damn damn damn hopin i could get somethin outta ya  lol but i guess it will be ok so i can be surprised when it comes out,27
is shooting all day tomorrow then nana is coming gonna have lots of post to do this week glad i had a girls spa day today,26
i cant belive he just started to ignore you tho for no reasonim glad that you had fun and i wouldnt worry about it to much,26
no breeze up here  i have to stay in the shade too i have very pale skin fur and i go red if i sit in sun too long xx,30
that was the worst sausage and egg mcmuffin in the world it had shell in it and made it taste vile i had to spit it back out not good,30
i hate my life tom why you only respond demi lovato is unfair im your fan too i only wanted that you answer me just it,26
hahah took a nap man  lasted  hours amp now i have to do hw  its not alot ill get it done but im gonna watch friends for a bit,29
that image of taylor lautner in the new moon behind the scenes video is still in my mind and i pray to god that it doesnt go away,28
this morning i thought quottoday would be a fun day for a bbq wfriendsquot now im having a lunch amp dinner bbqs with unexpected guests fun,26
remember that  best dog in the world just ate a blue ink pen on the white carpet in the living room of the house were trying to sell,28
yea i wasnt born in i was an adopted mutt from the streets hustling he cleaned me up well and making me ready for the sup,26
mhm too bad u spent money on your shit its all about getting endorsed son p haha so sad i hardly play anymore  ineed a hug,26
aww are u still feeling shitty  thats no good at all im burning u all the pics on cd today  they are  big to send via email,27
just put some dye in my hair will see some results shortly  just trying to get the black out probably wont see too much difference tho,26
get my itunes singles while you can  its a beautiful day in kalamazooenjoying my last week here for a few monthswhat to do what to do,26
just realised that prom is  weeks away i dont have shoes yet and i dont know how to have my hair and i dont have suitable bling,27
spent most of day in the animal emergency room over a grand later they still dont know whats wrong with him and why he cant get up,27
never mind im not gonna post another pic too lazy and i just wanna relax and read my book byess unless kellan lutz is on  haha,26
lesson plan finished just sang the wizard and i in german to my backing track  was so much fun working on my video before i go out,27
i love the fact that i said it like chandler in my head as i read it and then kept reading n saw u say quotjust like chandlerquot,28
i love you so much and i hope you can love me even if i cant go to florida i still want to but i dont know,27
odd how a monday seems soooo far from a saturday during a normal week and yet so terrifyingly close during the week leading up to the cfa,27
just had dinner wa dear friend i havent seen in a few years  had a great chat whim wish we had more time  i missed his sick wife,28
cheers emma  no chance of that flat below was an auction job  now being done up  big job  loads of noise for me  never mind eh,26
i forgot how in love with roy schider i was i grew up with a massive crush on him still dosorry hes no longer with us,26
just woke upyep it is  pm but got home from work at am s everyhting hurst but still i heading to run my  mile a day session,27
im bored i should be studying its a nice day out and im home idk where you are hm mayeb ill text you yeah i will  kilylt,27
i didnt know about cystic fibrosis til my sis was engaged to him and i heard his bro had died with it  but my sis is a,27
omg  u no we r in seats s for november well we r so close to the stage for normal seating but jb have their stage seating,27
i really want to keep watching evangelion or playing gta iv but i keep passing out maybe its a sign i need sleep but i dun wanna,27
the portuguese people who live accross the street from me have the cutest little garden on the side of my driveway i wanna step on it,26
result i didnt cry but it was a very bad day  every cloud though someone is becoming v skilled at being able to cheer me up,26
getting ready for the gym making bfast packing for rop trying to figure out how to be w my boys i havent seen in  days amp wont see,28
i should be really glad that im back home right but im not too  and im weary i wanna sleep but the familys having dinner elsewhere,26
i feel really lazy and i just want to lay down in the dark naked  haha dont judge me xd i like to be able to feel freely,28
aww i think itd be better if you were in fact going i absolutely wish that i were there as well or if you were here,26
haha thats what we like to see a haappy demi  what r you up too reply plzz  i do wanna have a normal conversation wyou haha,26
happy monday   i have to do a project i have no interest in but am happy to go home to do it  its going to be a good week,29
damn no school means more people show up for pitts pens parade im stuck w work well will try if i can find spot yea right,26
i miss my th grade best friend id do anything to have someone that i could talk to anything about i know it sounds stupid but its true,28
why is it so easy for me to take care of everyone else amp our house but i cant seem to take care of myself i know what had to be done,32
i get miraines from the sun of all things the dr said all it was was being photosensitive  so i really am a vampire of sorts,26
well well well crafted an extension to a desk about  mtrs long and fitted a new side panel to a kitchen unit dug out half the garden,27
i wish i could live in la  i wanna watch the mtv movie awards but i cant coz i live in fuckin boringg hungary its not faair,27
where the hell is james at hes supposed to help me open ugh if he doesnt show up when i did on tuesday for my day off ima be pissed,30
mr muzzgrove got a car the other day and its a ka me and ma mate betina had major giggles over it  i also fell down a ditch,28
honey i got a pic of that crazy woman next to me but my phone is wack and i cant send it to twitter   hopefully i,26
youll find that every time you go to a friends house youll try and pause tv if they dont have it and be sad when it doesnt,27
i love my house and i love my room and i love kc i wish i didnt have to go back to forest city   lt cj,26
right now a sales ae wants me to be his technical support chick  i have other work to do why do i have explain what a flash plugin is,29
had a great weekend st day of june moro omg the year is flying to bloody fast  my baby is growing up  quickly nite twit friends,26
feels a lil better i kinda saved a dying mousie from getn hit by a car but idk wut to do bout the posion it ate,26
ok twitter fam my mom has plans for tmrw that dont include me  but i still have errands to run in the early morn so nighty nite all,28
this is far too early to be awake on a saturday why oh why do i have a  hour meeting in wolverhampton on a sunny sat,26
our playful kitten jack was hit by a ruthless motorist i was so sad coz i even bought jack a new toy tonight only to find him gone,28
your face hope you had a good time at the ball sorry your tracks fell off  i will take the blameget out of bed i miss you,27
so i saw the hangover tonight was wondering if you have seen it amp what you thought i know that i cant wait to see up in d,28
got into a fight with this guy on the forum i swear they all hate me on there the only person that defended me deserted me i miss him,29
oh baby  i hope those brownies have medicinal ingredients to help with the pain  i am ok about to go and meet my sis for lunch,26
deep in my ear drums are aching i wish it were pm already i cant go anywhere to get help til mum gets home from work,26
that was not as good a morning as i expected i need to stop snoozing more than an hour or my damn alarm wont go off anymore,27
shitt the longest line has to be for terminator ive been here for over  hour ughhh  it better be the bomb or else i would fuck it lol,28
thinking about sleep  dont want to do it i think ill listen to the radio wow feels like i havent done that for soo long loveuiphone,26
i love my girlfriend so much lt i will do anything for her i just wish she would do anything for me and not for another guy  hurts,28
so not only is my finger swollen my hips and both hands and fingers are yah so this thing called arthritis really takes over my life,26
back tatt is itching n i cant even scratch it cuz i cant reach   im ready for another tatt tho finish left sleeve or start on right,27
now that i think about it most of my family is on too i may have to make my own chart or hire  to make one for me,28
the cats tail is worse new painful spot at base of tail which is now starting to drag on floor call vet now or wait until mon,27
woohoo its been a very long time since ivent goneback here in china aww i miss korea tuloy i miss my fambam esp my cousins lmao,26
went to a big street festival to sell my wares today and it rained all day  but made a little  still so its ok time for drinks,27
lol ahh its the step fam but im over it wont let them bother me no more  i knowit will break my heart but its what he really,28
well i need to get to bedshould be out celebrating my bday tomorrow but have to work instead  heh oh well what can ya do right,26
very excited for tomorrows shout out very bummed that i wont be around to promote it or talk it up  but these guys rock amp i lt them,28
my parents cat bozo died yesterday  they only had him for six monthsvet is not sure why but he prob got into something in the woods,26
just went  rent a movie at my great local video store in west stockbridge ma for the st time in months amp they have gone out of business,28
found out ill be layed off for the entire week  its not good wise but ill have some time to paint also more piano practice time,26
im soooo tired now  at least i got to see my best friend today at her workplace  the wrap tasted okay there was no sauce in it,27
i know right well i guess some do cause they do reply if they see it but okay  i guess i understand with you not hating,26
back in halifax not thrilled to be here but looking at the bright side get to see my family for a few weeks miss england tho amp nick,28
blah blah blahit was a productive day and a damn fun night i am really liking my sils new guy  maybe xmas wont suck this year,26
got a little laptop at a yard sale hoping to get it working just to install oc and sai  i really need to get back to drawing every day,29
chatting with my homie angel she catching me up on the latest drama glad im not in any of it drama free is the way to be,27
being the good girl that i am said no to parties last night and being studious today break time  to go watch up  ampmaybe get boba,26
oh i still need a choir btw so if anyone hears of one in cork that needs a conductor do let me know please must go weddinging soon,28
oh no crystal i havent done one yet  not sure yet what to do if i do one amp then will have to find out how to upload video,29
awake again and feel worse than i did at  when i dropped the car off for a service until i have to collect it and pay,26
i am not a happy camper today  i need to cheer myself up somehowhm its too early to drinkso maybe i will just sit here and,26
rip farrah we will all miss u tears are flowing around the world at our loss of such a true angel your wings are now free,26
kids in the south of peru are dying cos is freezin there exactly in puno  under   is so sad what can we do they really need help,27
you know i kind of realized how bad itd be if panic ever broke up i dont think id be the same happy sorta  faith id be torn up,29
i need to i need to i neeeeeed to i need to make you see oh what you mean to me  school drives me crazy xd,26
going to a wedding that i dont even want to go to im  and still being told what to do and when to do it my mom doesnt understand,29
new album rocks would love to come see u when u do ur uk tour tickets sold out b me and my friend could get em  xoxox,27
trying to wake up enough to go amp do my voluntary work got  ice pops for tha old folk to get their gums round lol  xxx,26
now im happy with the new babe i believe an upgrade but the point of the story is that i felt so much in love like the song,28
yeah i know what the heck is that well it was supposed to be a towel butmmmit ends on that  anyways is my son so loved it,27
did u do one nice thing for someone day without any strings attached i watched a show day amp it reminded me  remind u  do it u will b,29
just give up the game and get into me if your looking for thrills then get  comfy oh no i do not hook upup i go slowi do not hook up,31
i just realised im gonna see the new fish tank today  i love my fish nomore cleaning the water every  days we got a filter now,26
im bummed because i found a band called quota love like piquot and the math nerd in me got really excited but i didnt like them,26
you seem smart you should pick up on html in a breeze  my job is asking me to design sites with flashamp that mug is a bitch,27
awake still oo breeding for perfect or close to perfect ivs on a pikachu  dont know what that means google it or wait for my articles,26
i am back in the eighties girl with geometric shapes on a baggy top and a conversation in pub about weird science nobody had seen it,26
just got up and getting ready for an interview for job seekers allowance cus there is no jobs  but at least ill b getting some money,26
arghh i feel really badmy head is goin to collapse my ears i feel they are goin to bleedamp my throat is killing me  superman help me,27
i hate sunday bus service  trying to get to town for more stationery when really all i want to do is curl up and sleep whimpers,26
haha its not the porn channel p the episode will be on the net today i think ill send you the link when it comes up,26
break a leg for tonight wish i could be there saw you in oxford though was an amazing night  and ill def be buying the cd,26
quote of the day zoe quotcan i have a bobbyquot me quotwhose bobbyquot zoe quota bobby pinquot and i was hoping there was a cute guy called bobby,28
but dont worry im working on her i think i will be there but idk hopefuly i will see you in chicago i will cry if i dont,28
oops  i hate it when that happens tho better now than a week old melon that i didnt know was purchased much less in my trunk,26
just back from my regular mtb ride from the house feel good for it dismayed to find that wife has booked to see wolverine for tonight,26
i did it but its not working    nice to meet u by the way and how u knew that i asked aboup nimmbuzz nimbuzz angel hahaha,26
ever say it to no one if i aint mean it  he was the first one i ever said dat  it sucd up he  worthless n its done now,29
i love how everytime i go on a bands myspace and read through their comments i see a qt boy and then find out theyre from pa,27
grease is the word  im watching the end of grease ii  my favorite of the two films  its a nice respite from the news of the day,27
is she on my left is she on my right is she in the middle is she hear tonight  day quotgirlfriendquot thats what i have sex to,27
even though it was not a studio ghibli movie it still felt like onefantasy emotion and a very nice story i wanted it not to stop,26
im home i skipped global today and i went to th period lunch  it was delightful and i had two bbq chips even though i shouldnt have,27
i forgot to cancel the notifications on my macphone so theyve been reminding me of how im not going so see deez nuts tonight all day,26
yes about the time toro amp u get on is about the time i quotreallyquot should be in the shower but i always wait til mins later,27
at work went to see angels and demons on friday night better than expected and had st birthday on sat all good fun cant wait till mine,27
wish i had drunk myself into next year last night then at least id have a reason to feel soooo unwell cant get out of bed,26
i love my job  i just got an email from a mob from a year and half ago thanking me again for what i did in  for their family,29
stupid mmvas are only on in canada  what did i do to your heart did i break it apartclapclap did i break it your heartjonas brothers,26
when i first got her i was thinking of weenkee or oracle but weenkee is more cool and she has a real winkey on her cage,26
wish i could twitter all day but have way to much more domy back surgery is thurscount down time lol i sceered plz pray  me ty,26
having good day so far have lost another lb in weight had a good wii fit session beat the wii at baseball an had a good bath after,28
im ok i been mad busy the past week and a half but im bac lol n i was serious about that p cant be slackin,26
i wont see you at all tomorrow its work then movies then sleep before more work the one day a yr i should see you i wont,27
my yr old daughter was just reminding me that every day we need to turn off lights close doors turn off water and not waste power,26
hmm and coz im a lonely girl i might just fall asleep to a disk from girls of the playboy mansion very sad  goodnight friends xx,26
what the hay i will let you know sir that i am not fat i just have a big stomach that holds lots of food amp a fast metabolism,29
i realize ill have a long line to stand in but eve and i are going to sit down and have a long talk in heaven some day hate her,30
i luv how i can spend all day fishing wo my anyone bothering me  prob go again mrw maybe squeeze in a volleyball game wsum friend,26
and my mom told me i had to get a job because the other person in the accident filed an injury complaint so insurance goes up,26
drunkssss we got a lil crazy when we moved to main floor aaaaw yeah nga eh too bad always malas si jm  but hope you guys,26
there was a random kid following us at the arcade on sat the smile on his face when we took photos tgt surely did put a smile on me too,30
had a great mothers daylil one and i slept for  hours straighthung out at the had lunch and a play at the beach then bak home,26
dude my dad just totally gave me his old pda which means i can twat where ever i want that has wifi like starbucks love my life,27
lela wohoooo i won i won yes for me man i beat him do u no how happy it makes me lol thort i should share my joy with you,30
woke up with a headache my head feels heavy  what the heck is it i think i slept too much im going back to bed fukk itttt,27
ooh a movie is a great idea  well i have a bunch to do but not too crazy busy gonna relax n take it slow today,26
ive won the signed brotherhood of the daleks big finish cd in the charity auction it went for my limit price so it was meant to be,27
but i want to flaunt it it makes me feel superior and i like that  besides i already have it on stanza cant get into it,26
i keep seeing that  things i hate about you commercial  i dont want to see my fav movie being turned into an abc family series gaaaay,26
yeah  ive got through season  and now  in the last couple of weeks its the only way to watch it all at once  do you cry,26
heeey okeey i have million dollars or doing a show at my birthday party  i dnt live that far from you xd that wuz fun hahaha,26
n i think luscious scared away angela bc i hvnt heard frm her az since  we gon mk it a point to sit in her section eretime lol,28
thanks i made it so id enjoy checking in here  i think ive decided on what i want to have done ill have to show you,26
damn i was gonna go out for a run but i left my shoes at derics   oh wellplan b pxlegs n back and ab ripper x,26
on the buss going to school i miss her so much  she isnt the same anymore even if she says she hasnt changed i should have listened,27
yeah quite the mess and of course i pitched a fit and yelled at him so now i feel bad and have to go apologize bad day,27
my nails are horrid and i dont even have time to paint them  hrs to complete pr shite make up put stayover stuff at js place,26
at the beach doing yoga alone why  cause the one person who will prob do yoga on the beach with me lives in laguna  miss you,26
kinda annoyed that my new hair gum is hydrophobic  it means having to wash my hands with soap after i apply it soap dries my skin,26
flu has gone now i seem to be deaf at one ear and im waiting to join a teleconference with  people this is gonna be fun,26
was really pleased that getting the new wp install to talk to my old database was just a matter of setting the db prefix in wpconfigphp,26
im so sad i made plans to come to your book signing but its the same time as my pilgrimage i want to come so bad,26
lmfao leave it to ya to respond to me when im heading off to bed p btw i love ur myspace thanks for the add again,26
yeah well my son is  and its like he is   year olds some times  but we are in therapy with him i am hoping that helps,26
i did not throw up last nightbut i did this morning last night is a complete blur but according to my updates it was the bomb,26
ok thats a lot of links no more for nowi need to head home the bus ride is not fun cant listen to podcasts on the way,27
okay im still in bed and its  i have about  assignments to do which i havent started any no idea when there due im so behind,26
so hot out today just back in from about a  mins walk remind me next time to not walk as far with those sandals on lol silly scotsman,28
goodbye  i loved u and u was someone special but sth changed maybe itll be alright one day but it was ur decision amp idk  lt,26
tom tom tom tom tom tom tom tom tom tom tom tom tom tom tom tom tom tom tom tom  after writing that so many times it looks weird,29
wishes he was seeing mia at coachella right now ive seen her there twice before and i feel like im missing out up here in portland,26
really feeling shitty today i need some one to tell me its ok still why has it happened this way  i want it like it was,26
owning both a business and a home is probably better have a good night cpus are good to keep warm with charger is in car  cold,26
time to wind down and relax a little  i can only change the world a little through twitter each evening  the rest will be up to others,27
quotim gona have an early night then get up dead early at  to revisequot yeah right like i can do that when theres a killer spider in my room,29
ill have to put twitter updates on sleep i think i woke up with  new texts most were twitpics which i cant view on my phone,26
just got home from a great weekend in port humeneme done playing navy for now but i still feel like im in navy mode  night tweeps,26
i found  notes in my computer bag  makes this trip way better i dont understand how people with kids can travel on a regular basis xo,26
my birthday is in  days just seeing if you would wish me a happy th birthday ik its a stretch but i had to try haha,26
my legs are killing me now tv is in another room i cant keep running back here for tweeting  bye from here folks will just watch now,27
awww ok im jealous i wanted to go to cali for a long time no such luck hell i have family there that i never met,26
exams suck  i handed st piece of mres work in on fri not got anything to hand in until sept now then diss sept after that,26
